id_sim,year,month,day,seed,Straw Value,Salinity Exposure,Max Flood Continuous,Profit Margin,Flood Stress,Methane Emissions,Labor Intensity,Net Income,AWD Adoption,Salinity Stress,Pesticide Usage,Resilient Varieties,Drought Stress,Fertilizer Usage,Water Usage,Production Cost,Emission Intensity,Water Reliability,Biodiversity,Avg Yield
98,2027,2,28,2.857941005564493E18,50.06659355233248,3.1012492380827115E-4,0.0,51.91746992960906,0.0,104.39999999999992,265.17914438502675,1146.6595671866667,100.0,0.0,6.179144385026738,100.0,0.0,96.0,617.2904711192948,1061.4233701669282,0.014310352220915475,100.0,1.0,7.29541791762559
88,2027,2,28,6.65317065901527E17,50.30558680948581,1.7002462928085037E-4,0.0,55.56199391421019,0.0,95.69999999999867,263.77807486631013,1376.4872996534195,100.0,0.0,4.778074866310161,100.0,0.0,96.0,611.4409402388878,1100.5155093267147,0.013055502331572086,100.0,1.0,7.330242649382215
96,2027,3,1,4.2692437014197545E18,51.13251892323632,3.1012492380827115E-4,0.0,52.25334167465104,0.0,49.29999999999987,265.3983957219251,1254.3560911002903,100.0,0.0,4.898395721925134,100.0,0.0,96.0,811.6916815278827,1145.6108980238819,0.006616793783252912,100.0,1.0,7.450738471671588
90,2027,3,1,2.2009420763865405E18,50.26216552205595,3.1012492380827115E-4,0.0,56.53965521166493,0.0,84.09999999999899,265.9197860962567,1375.9033019832882,100.0,0.0,5.419786096256685,100.0,0.0,96.0,613.3777113682629,1057.0146767317324,0.011482928694980816,100.0,1.0,7.323915547499574
89,2027,3,1,7.388801749022034E17,50.84737331979093,3.1012492380827115E-4,0.0,56.08630433569437,0.0,63.80000000000056,264.71122994652404,1299.2119474545443,100.0,0.0,4.211229946524064,100.0,0.0,96.0,610.2140365805234,1016.956380448922,0.008610929309980446,100.0,1.0,7.409188683740971
87,2027,3,1,2.7812977706100634E18,50.190052448468684,3.1012492380827115E-4,0.0,53.492163249906675,0.0,57.99999999999999,265.2192513368984,1240.6117051243425,100.0,0.0,4.719251336898396,100.0,0.0,96.0,813.11061709769,1077.8844297167086,0.007930639564382789,100.0,1.0,7.313407642491178
86,2027,3,1,3.967985631945377E18,50.600648474310255,3.1012492380827115E-4,0.0,54.351569767603024,0.0,81.19999999999894,265.8475935828877,1299.3473627950527,100.0,0.0,5.347593582887701,100.0,0.0,96.0,821.1233049951356,1090.8922425162204,0.011012801589760104,100.0,1.0,7.373237349113791
84,2027,3,1,2.3275888066568E18,50.7925623210762,0.009948359609430642,0.0,46.395193803424995,0.0,89.90000000000086,265.5187165775401,1012.8516660921548,100.0,0.0,5.018716577540107,100.0,0.0,96.0,818.7780221982271,1169.4810363921374,0.012146675735981261,100.0,1.0,7.401201938213949
83,2027,3,1,1.858714168763392E18,50.662612495003536,2.492965625468417E-4,0.0,50.567615674968536,0.0,95.69999999999867,266.0053475935829,1189.8234600346234,100.0,0.0,5.505347593582887,100.0,0.0,96.0,820.2004005666325,1162.4890059219863,0.012963498594690821,100.0,1.0,7.382266392129085
82,2027,3,1,4.90388125562359E18,50.63902945938652,3.1012492380827115E-4,0.0,54.431015353961115,0.0,87.00000000000001,266.0668449197861,1297.126526876612,100.0,0.0,5.566844919786096,100.0,0.0,96.0,825.3793546681999,1085.3412717147473,0.01179048709865706,100.0,1.0,7.378830006939182
