id_sim,year,month,day,seed,Straw Value,Salinity Exposure,Max Flood Continuous,Profit Margin,Flood Stress,Methane Emissions,Labor Intensity,Net Income,AWD Adoption,Salinity Stress,Pesticide Usage,Resilient Varieties,Drought Stress,Fertilizer Usage,Water Usage,Production Cost,Emission Intensity,Water Reliability,Biodiversity,Avg Yield
128,2027,2,28,6.65317065901527E17,50.28268435157229,1.6872955593485913E-4,0.0,53.56655288093136,0.0,95.69999999999867,263.7620320855615,1271.0937674508023,100.0,0.0,4.762032085561497,100.0,0.0,96.0,609.7309402389053,1101.400864116406,0.01306144877410082,100.0,1.0,7.326905434086264
123,2027,2,28,1.858714168763392E18,50.22439702283707,2.293823400948751E-4,0.0,55.88925821612785,0.0,92.80000000000129,264.4745989304813,1311.051072063019,100.0,0.0,5.474598930481283,100.0,0.0,96.0,618.5168409925691,1034.2992525168333,0.012680346262961929,100.0,1.0,7.3184121376134
138,2027,2,28,2.857941005564493E18,50.071286678995534,3.1012492380827115E-4,0.0,54.19614706958237,0.0,104.39999999999992,265.1631016042781,1262.2457368657422,100.0,0.0,6.163101604278075,100.0,0.0,96.0,616.2804711192888,1066.2556928477547,0.014309010927331488,100.0,1.0,7.296101773225052
136,2027,2,28,4.2692437014197545E18,50.65069834899195,3.1012492380827115E-4,0.0,57.869436564821235,0.0,49.29999999999987,264.0187165775401,1413.0174231568715,100.0,0.0,5.018716577540107,100.0,0.0,96.0,607.7578159992275,1028.2303693632095,0.006679736792613557,100.0,1.0,7.380530330853116
131,2027,3,1,4.2848121755587553E18,50.634959832777284,0.009790153721298734,0.0,52.725355949814904,0.0,66.69999999999933,265.72058823529414,1298.687479777482,100.0,0.0,5.220588235294118,100.0,0.0,96.0,820.0112401144976,1163.7718520135927,0.009040099953686563,100.0,1.0,7.378237004204694
130,2027,3,1,2.2009420763865405E18,50.03737408516974,3.1012492380827115E-4,0.0,54.06999496624819,0.0,84.09999999999899,266.2700534759358,1246.0597290588414,100.0,0.0,5.770053475935829,100.0,0.0,96.0,612.2374110266816,1057.8505954250018,0.011534515415671076,100.0,1.0,7.291160223839024
129,2027,3,1,7.388801749022034E17,50.85405063310237,3.1012492380827115E-4,0.0,59.87377026876356,0.0,63.80000000000056,264.6951871657754,1490.8624576954762,100.0,0.0,4.195187165775401,100.0,0.0,96.0,609.4883730585146,998.873917072568,0.008609798665082177,100.0,1.0,7.410161663680625
127,2027,3,1,2.7812977706100634E18,50.15564847480286,3.1012492380827115E-4,0.0,55.85126564402002,0.0,57.99999999999999,265.71256684491976,1395.1830376252162,100.0,0.0,5.212566844919786,100.0,0.0,96.0,812.3035576946946,1102.300969816383,0.007936079540198565,100.0,1.0,7.308394492042704
126,2027,3,1,3.967985631945377E18,50.52853498907222,3.1012492380827115E-4,0.0,52.335684923259,0.0,81.19999999999894,266.2847593582888,1203.4431132374534,100.0,0.0,5.78475935828877,100.0,0.0,96.0,820.0377006392329,1095.5378976395555,0.01102851887713139,100.0,1.0,7.3627293841219545
124,2027,3,1,2.3275888066568E18,50.737436195815945,0.009939544618596302,0.0,51.14499210793762,0.0,89.90000000000086,265.7366310160428,1226.8422401757994,100.0,0.0,5.2366310160427805,100.0,0.0,96.0,817.842289308205,1171.174957397602,0.012159873075427667,100.0,1.0,7.393169274247464
122,2027,3,1,4.90388125562359E18,50.659559423518125,3.1012492380827115E-4,0.0,56.94696054305324,0.0,87.00000000000001,266.01737967914437,1426.9286994990123,100.0,0.0,5.517379679144385,100.0,0.0,96.0,833.8629554092155,1078.1638490271987,0.011785708962408263,100.0,1.0,7.381821515998358
