Station,Latitude,Longitude
ben luc,10.638333333333334,106.47545555555556
vam kenh,10.274361111111112,106.73715
tan an,10.53876111111111,106.42580833333334
tra on,9.965913888888888,105.91905277777778
hung my,9.883058333333334,106.44745833333334
huong my,9.988475,106.37881388888889
long thanh,9.909025,105.31462499999999
cau ong thin,10.649661111111111,106.65522222222222
go quao,9.723125,105.27884166666666
khanh thanh tan,9.613369444444444,106.14849722222223
son doc,10.032058333333334,106.50255555555556
soc trang,9.606041666666666,105.97563333333333
tra vinh,9.975675,106.35434722222222
lang the,,
soctrang,9.613369444444444,106.14849722222223
dai ngai,9.734577777777776,106.07424999999999
bac lieu,,
my hoa,10.22249490202825,106.3491874093201
an thuan,9.613369444444444,106.14849722222223
xeo ro,9.864672222222222,105.11071388888888
ca mau,9.172799999999999,105.1487388888889
chu chi,9.30316388888889,105.31883888888889
hoa binh,10.290344444444445,106.59240277777778
tuyen nhon,10.658033333333334,106.19173888888889
bac trang,,
rach gia,10.007663888888889,105.08443888888888
my thanh,9.424546194731676,106.1709394534008
xuan khanh,10.842688888888889,106.34944444444444
thanh phu,9.480619444444445,105.90945833333333
cau noi,9.613369444444444,106.14849722222223
tran de,9.527933333333333,106.20034444444445
soc cung,10.068583333333333,105.12802777777777
cat lai,10.757172222222222,106.78713333333333
long toan,,
binh dai,10.204058333333332,106.70560833333333
vung liem,10.100466666666666,106.21168333333334
loc thuan,10.24218611111111,106.60269722222222
thoi binh,9.346822222222222,105.08859444444444
cau do,9.613369444444444,106.14849722222223
an ninh,9.667675,104.95038055555555
giong trom,10.155077777777779,106.40937500000001
an lac tay,9.83336388888889,105.997175
ben trai,9.885586111111111,106.52673055555556
ly nhan,10.462549999999998,106.77363333333334
dong tam,10.32746605305774,106.2709581641732
an dinh,10.311030555555556,106.42841666666668
thach phu,,
phuoc long,9.435344444444445,105.45825277777779
tra kha,9.648097222222221,106.22649166666667
cau quan,9.75845,106.11414166666665
nha be,10.638847222222221,106.73448611111111
ninh thoi,,
my tho,10.3497,106.37914722222222
song doc,9.0408610962338,104.83052139503341
ganh hao,9.031944444444445,105.41949444444445
long phu,9.613369444444444,106.14849722222223
