id_sim,year,month,day,seed,Fertilizer Usage,Pesticide Usage,Water Usage,Salinity Exposure,Max Flood Continuous,Flood Stress,Drought Stress,Salinity Stress,Biodiversity,Resilient Varieties,Water Reliability,Emission Intensity,AWD Adoption,Methane Emissions,Labor Intensity,Profit Margin,Net Income,Production Cost,Straw Value,Avg Yield
205,2026,3,7,5.547295844673057E18,104.0,0.7299465240641712,821.9967530014785,0.004605987067841885,0.0,0.0,0.0,0.0,1.0,0.0,100.0,0.006545576744037453,100.0,52.00000000000001,294.67914438502675,52.80282766324708,916.4150428005833,818.6192321157145,103.88694939975005,7.944296130569127
209,2026,3,7,4.5883026077742356E18,90.0,2.7112299465240643,814.6227132415978,0.03146349766042777,0.0,0.0,0.0,0.0,1.0,0.0,100.0,0.005166482605368708,100.0,39.00000000000001,320.379679144385,49.239721585975204,811.894796393646,836.7316774764138,98.71319405392686,7.5486560158885405
200,2026,3,6,5.640733279973713E18,90.0,2.7112299465240643,821.3573105841547,0.04253398757798574,0.0,0.0,0.0,0.0,1.0,0.0,100.0,0.006705350763136698,100.0,49.400000000000695,318.879679144385,47.81212565108555,769.5085733623953,839.4989761476846,96.34097049053047,7.367250684569983
207,2026,3,5,3.836345349235617E18,90.0,4.251336898395722,817.9513289013513,0.04661258912655978,0.0,0.0,0.0,0.0,1.0,0.0,100.0,0.0047049413409281215,100.0,36.400000000000425,342.02139037433153,48.49247455874231,819.5075992493397,870.1542740763466,101.17023051048434,7.736547039037041
210,2026,3,6,6.035458547893711E18,104.0,2.7767379679144386,814.0851623494704,0.0229112726215293,0.0,0.0,0.0,0.0,1.0,0.0,100.0,0.005520198876229728,100.0,41.59999999999945,325.927807486631,47.867208509473876,787.9889724735185,857.8647736880986,98.54717415028027,7.535960376197907
211,2026,3,3,9.102023961735639E17,90.0,4.21524064171123,806.3044093857254,0.0027931800770949,0.0,0.0,0.0,0.0,1.0,0.0,100.0,0.00733817669552679,100.0,52.00000000000001,338.4438502673797,44.26910732098025,685.2740440861095,862.358354425477,92.66607063502764,7.086228930913888
203,2026,3,6,5.594090867782912E17,90.0,3.518716577540107,822.026412054354,0.03845538602941171,0.0,0.0,0.0,0.0,1.0,0.0,100.0,0.005754562192566784,100.0,41.59999999999945,331.7994652406417,45.702279082991595,721.7101029692298,857.11374078653,94.53369027841637,7.229046903643601
201,2026,3,6,7.321516021041606E18,104.0,2.9411764705882355,818.9159119029755,0.015576822594677691,0.0,0.0,0.0,0.0,1.0,0.0,100.0,0.006343440442070919,100.0,46.79999999999971,328.55882352941177,46.373686028519124,747.4905286601806,863.7991324220659,96.47761425189626,7.3776999133803
218,2026,3,6,4.983645792114481E18,90.0,2.7954545454545454,822.5523175884766,0.0026436359531851012,0.0,0.0,0.0,0.0,1.0,0.0,100.0,0.0049668431747705,100.0,39.00000000000001,320.22727272727275,50.89696273921876,872.9931892991051,841.8988860669775,102.6809146281463,7.852069942152353
215,2026,3,6,2.0171452079049892E18,90.0,1.9425133689839573,814.247512936749,0.018062378286541975,0.0,0.0,0.0,0.0,1.0,0.0,100.0,0.0057650165966053385,100.0,44.200000000000486,306.5802139037433,51.04741586494604,854.9647765465957,819.4935425646418,100.259902172763,7.6669336955642295
214,2026,3,7,2.845830034239694E18,104.0,2.156417112299465,817.818051601632,0.020393007742869857,0.0,0.0,0.0,0.0,1.0,0.0,100.0,0.005709228492728801,100.0,44.200000000000486,317.50267379679144,49.893390153033785,843.7640473361736,847.0563520040203,101.2395984389379,7.741851645330543
206,2026,3,5,4.761185233657941E18,90.0,3.843582887700535,817.6498756720686,0.01864503565062377,0.0,0.0,0.0,0.0,1.0,0.0,100.0,0.006449988638044497,100.0,49.400000000000695,335.49732620320856,48.50080658457183,811.4323116626545,861.2776116328308,100.1552151874585,7.658928220217416
208,2026,3,7,6.730945950873178E18,104.0,1.4184491978609626,823.0479910908406,0.01864503565062377,0.0,0.0,0.0,0.0,1.0,0.0,100.0,0.004746904018154793,100.0,36.400000000000425,305.6951871657754,50.20213520889066,840.8464377167201,833.8788083796331,100.27588469864105,7.668155888719603
202,2026,3,5,6.35493686753437E18,90.0,3.942513368983957,814.6629472716007,0.027967553475936005,0.0,0.0,0.0,0.0,1.0,0.0,100.0,0.005157791964309786,100.0,39.00000000000001,337.0802139037433,47.8007490315635,789.5030735444645,861.9012597320518,98.87952122323479,7.561375152365024
213,2026,3,7,5.617863043828535E18,104.0,4.901069518716578,817.8218700002211,0.01700155226500654,0.0,0.0,0.0,0.0,1.0,0.0,100.0,0.005359388967695507,100.0,41.59999999999945,361.41711229946526,46.553731259149444,789.4442081203428,905.7938227006584,101.50410863608371,7.762078895700512
