name;datetime;tempmax;tempmin;temp;humidity;precip;windspeed;sealevelpressure;solarradiation;solarenergy;description;stations;source
Dong Thap VietNam;2018-09-01;32;25;28.5;84.4;3.5;20.5;1010.5;237.3;20.5;Partly cloudy throughout the day with rain in the morning and afternoon.;48907099999;VVCT;48912599999;remote;obs
Dong Thap VietNam;2018-09-02;32;25;28.3;83.2;1.6;19.2;1008.5;230.4;19.8;Partly cloudy throughout the day with rain in the morning and afternoon.;48907099999;VVCT;48912599999;obs
Dong Thap VietNam;2018-09-03;29;24;26.4;90.4;9.9;20.2;1009.2;106.1;9;Partly cloudy throughout the day with rain.;48907099999;VVCT;48912599999;obs
Dong Thap VietNam;2018-09-04;30;24.2;26.6;87.8;4.1;31.7;1010.3;161.1;13.9;Partly cloudy throughout the day with a chance of rain throughout the day.;48907099999;VVCT;48912599999;obs
Dong Thap VietNam;2018-09-05;31;24.3;26.7;88.4;0.1;16.7;1009.5;248.9;21.6;Partly cloudy throughout the day with morning rain.;48907099999;VVCT;48912599999;obs
Dong Thap VietNam;2018-09-06;31;25;27.4;86.6;3.1;16.7;1007.5;217.3;18.7;Partly cloudy throughout the day with rain.;48907099999;VVCT;48912599999;remote;obs
Dong Thap VietNam;2018-09-07;31;25;27.9;83.9;1.4;18.4;1006.9;199.8;17.3;Partly cloudy throughout the day with late afternoon rain.;48907099999;VVCT;48912599999;remote;obs
Dong Thap VietNam;2018-09-08;29;25;26.7;87.7;32.2;18.3;1007.9;110.5;9.6;Partly cloudy throughout the day with a chance of rain throughout the day.;48907099999;VVCT;48912599999;remote;obs
Dong Thap VietNam;2018-09-09;31;25;26.5;90.9;11;11.6;1009.7;196.9;16.9;Partly cloudy throughout the day with a chance of rain throughout the day.;48907099999;VVCT;48912599999;obs
Dong Thap VietNam;2018-09-10;32;24;27.9;83.2;5.7;17.4;1011.5;224.8;19.4;Partly cloudy throughout the day with rain in the morning and afternoon.;48907099999;VVCT;48912599999;obs
Dong Thap VietNam;2018-09-11;32.6;26;28.5;82.6;3.1;23.1;1010.6;214.1;18.5;Partly cloudy throughout the day with rain.;48907099999;VVCT;48912599999;obs
Dong Thap VietNam;2018-09-12;31;25;27.3;85.8;3;25.4;1009;174.6;14.9;Partly cloudy throughout the day with afternoon rain.;48907099999;VVCT;48912599999;obs
Dong Thap VietNam;2018-09-13;29;25;26.3;89.2;40;25.8;1007.8;167.3;14.4;Partly cloudy throughout the day with afternoon rain.;48907099999;VVCT;48912599999;obs
Dong Thap VietNam;2018-09-14;31;23;26.6;87.7;4.4;19.2;1007.7;104.4;9.1;Partly cloudy throughout the day with a chance of rain throughout the day.;48907099999;VVCT;48912599999;obs
Dong Thap VietNam;2018-09-15;30;25;26.6;89;18;22.3;1006.9;151.2;13.1;Partly cloudy throughout the day with afternoon rain.;48907099999;VVCT;48912599999;remote;obs
Dong Thap VietNam;2018-09-16;28;24;25.6;94.1;25;25.9;1005.3;164.4;14.1;Partly cloudy throughout the day with rain.;48907099999;VVCT;48912599999;obs
Dong Thap VietNam;2018-09-17;28;23;24.8;96.1;3;22.3;1007.3;107.5;9.2;Partly cloudy throughout the day with morning rain.;48907099999;VVCT;48912599999;obs
Dong Thap VietNam;2018-09-18;30;24;25.9;91.5;15.2;18.4;1009.6;72.8;6.4;Partly cloudy throughout the day with late afternoon rain.;48907099999;VVCT;48912599999;remote;obs
Dong Thap VietNam;2018-09-19;33;24;27.7;83.9;1.2;25.9;1009.8;191.1;16.5;Partly cloudy throughout the day with rain.;48907099999;VVCT;48912599999;remote;obs
Dong Thap VietNam;2018-09-20;31.1;22;26.5;90.2;4.3;13;1009.2;192.7;16.7;Partly cloudy throughout the day with rain.;48907099999;VVCT;48912599999;obs
Dong Thap VietNam;2018-09-21;32;24;26.9;88.4;10.2;11.2;1010.1;184.5;15.9;Partly cloudy throughout the day with late afternoon rain.;48907099999;VVCT;48912599999;obs
Dong Thap VietNam;2018-09-22;31.1;25;26.7;90.9;33.4;22.3;1011.7;128.2;11.1;Partly cloudy throughout the day with rain.;48907099999;VVCT;48912599999;obs
Dong Thap VietNam;2018-09-23;33;24;27;88.2;0.2;13;1012;201.6;17.4;Partly cloudy throughout the day with afternoon rain.;48907099999;VVCT;48912599999;remote;obs
Dong Thap VietNam;2018-09-24;33.5;25;27.9;84.1;3.7;13;1010.9;222.4;19.3;Partly cloudy throughout the day with rain in the morning and afternoon.;48907099999;VVCT;48912599999;obs
Dong Thap VietNam;2018-09-25;32;25;27.4;88.2;0.1;14.8;1010.1;259.6;22.4;Partly cloudy throughout the day with afternoon rain.;48907099999;VVCT;48912599999;remote;obs
Dong Thap VietNam;2018-09-26;33;25;28.5;81.3;1.2;17.7;1009.1;243.7;21.1;Partly cloudy throughout the day with rain in the morning and afternoon.;48907099999;VVCT;48912599999;remote;obs
Dong Thap VietNam;2018-09-27;33;24;28.6;83.1;2;20.5;1008.7;235.4;20.3;Partly cloudy throughout the day with afternoon rain.;48907099999;VVCT;48912599999;obs
Dong Thap VietNam;2018-09-28;32.8;26;28.8;83.7;6.2;14.8;1008.5;171.2;14.9;Partly cloudy throughout the day with a chance of rain throughout the day.;48907099999;VVCT;48912599999;obs
Dong Thap VietNam;2018-09-29;33;25;28.3;84.9;33.2;16.6;1008.2;170.2;14.7;Partly cloudy throughout the day with late afternoon rain.;48907099999;VVCT;48912599999;obs
Dong Thap VietNam;2018-09-30;30.6;25;26.6;91.1;26;14.8;1008.8;168.4;14.6;Partly cloudy throughout the day with rain.;48907099999;VVCT;48912599999;obs
Dong Thap VietNam;2018-10-01;33;25;28.3;82.5;5.4;16.6;1009.5;207.3;17.9;Partly cloudy throughout the day with late afternoon rain.;48907099999;VVCT;48912599999;obs
Dong Thap VietNam;2018-10-02;30.9;26;27.5;87.3;13;11.2;1010.1;139;11.9;Partly cloudy throughout the day with rain.;48907099999;VVCT;48912599999;obs
Dong Thap VietNam;2018-10-03;32;24;27.2;86.7;2.1;16.9;1010;99.6;8.7;Partly cloudy throughout the day with late afternoon rain.;48907099999;VVCT;48912599999;obs
Dong Thap VietNam;2018-10-04;31;24;26.5;89.3;12.8;22.3;1010.1;90.9;7.9;Partly cloudy throughout the day with rain.;48907099999;VVCT;48912599999;obs
Dong Thap VietNam;2018-10-05;30;24;26.2;91.6;4.6;16.6;1010.8;100.8;8.9;Partly cloudy throughout the day with rain.;48907099999;VVCT;48912599999;remote;obs
Dong Thap VietNam;2018-10-06;32;24;27.3;85.3;0.5;16.6;1010.9;113.4;9.8;Partly cloudy throughout the day with rain.;48907099999;VVCT;48912599999;obs
Dong Thap VietNam;2018-10-07;32;25;27.3;85.4;28;21.3;1011;181.5;15.7;Partly cloudy throughout the day with late afternoon rain.;48907099999;VVCT;48912599999;obs
Dong Thap VietNam;2018-10-08;32;25;28;84.1;5;13.1;1010.1;236.2;20.5;Partly cloudy throughout the day with early morning rain.;48907099999;VVCT;48912599999;obs
Dong Thap VietNam;2018-10-09;33;25;28.6;78.1;6.5;13;1009.9;248;21.3;Partly cloudy throughout the day with rain.;48907099999;VVCT;48912599999;obs
Dong Thap VietNam;2018-10-10;33;25;28.8;79;19;16.6;1010;244.9;21.1;Partly cloudy throughout the day with early morning rain.;48907099999;VVCT;48912599999;obs
Dong Thap VietNam;2018-10-11;33;26;28.9;76.7;0.9;18.4;1010.6;230.7;19.9;Partly cloudy throughout the day with late afternoon rain.;48907099999;VVCT;48912599999;obs
Dong Thap VietNam;2018-10-12;33;26;29.3;74.6;3;18.4;1011.6;226.7;19.5;Partly cloudy throughout the day with late afternoon rain.;48907099999;VVCT;48912599999;obs
Dong Thap VietNam;2018-10-13;33;25;28.3;80.1;0.2;9.4;1011.8;237.9;20.6;Partly cloudy throughout the day with afternoon rain.;48907099999;VVCT;48912599999;obs
Dong Thap VietNam;2018-10-14;32;25;28.2;81.4;6.1;22.3;1012.1;192.5;16.6;Partly cloudy throughout the day with rain.;48907099999;VVCT;48912599999;obs
Dong Thap VietNam;2018-10-15;33;25;28.2;81;0.1;13.3;1011.9;165;14.2;Partly cloudy throughout the day with afternoon rain.;48907099999;VVCT;48912599999;remote;obs
Dong Thap VietNam;2018-10-16;33.8;25;28.4;80.7;11;11.2;1011.8;206.8;18;Partly cloudy throughout the day with late afternoon rain.;48907099999;VVCT;48912599999;obs
Dong Thap VietNam;2018-10-17;33;25;28.5;80.3;0.1;16.7;1010.5;223.1;19.2;Partly cloudy throughout the day with afternoon rain.;48907099999;VVCT;48912599999;obs
Dong Thap VietNam;2018-10-18;32;25;27.7;82.4;10.4;12.7;1010;184.8;15.9;Partly cloudy throughout the day with a chance of rain throughout the day.;48907099999;VVCT;48912599999;obs
Dong Thap VietNam;2018-10-19;29;24;25.8;90.9;46.6;14.8;1010.6;112.2;9.7;Partly cloudy throughout the day with rain.;48907099999;VVCT;48912599999;remote;obs
Dong Thap VietNam;2018-10-20;32;24.6;27.5;81.6;12;20.5;1010.9;156.1;13.6;Partly cloudy throughout the day with rain.;48907099999;VVCT;48912599999;remote;obs
Dong Thap VietNam;2018-10-21;32;24;28;80.2;4.4;13;1012.5;229.2;19.6;Partly cloudy throughout the day with rain.;48907099999;VVCT;48912599999;remote;obs
Dong Thap VietNam;2018-10-22;34;25;28;82.5;0.9;13;1011.8;237.7;20.8;Partly cloudy throughout the day with rain.;48907099999;VVCT;48912599999;obs
Dong Thap VietNam;2018-10-23;33;26;28.7;77.9;0.8;16.6;1011.2;164.7;14;Partly cloudy throughout the day with late afternoon rain.;48907099999;VVCT;48912599999;remote;obs
Dong Thap VietNam;2018-10-24;28;24;25.6;93.1;19;14.9;1012.1;102.4;8.8;Partly cloudy throughout the day with a chance of rain throughout the day.;48907099999;VVCT;48912599999;obs
