1,2043,1,18636,22.2,36.0,2.5,0.1,0.0,66.46
1,2043,2,17104,23.4,35.6,1.2,0.1,0.0,65.91
1,2043,3,17844,22.8,35.5,2.5,0.1,0.0,67.23
1,2043,4,18261,24.1,34.7,1.9,0.1,0.0,61.31
1,2043,5,20274,22.6,34.6,2.3,0.1,0.0,61.76
1,2043,6,14840,22.9,38.0,1.8,0.1,0.0,64.2
1,2043,7,16731,22.7,34.0,1.5,0.1,0.0,67.68
1,2043,8,18818,22.6,35.8,2.7,0.1,0.0,62.78
1,2043,9,19806,21.8,33.3,2.0,0.1,0.0,61.8
1,2043,10,19544,23.0,36.9,2.8,0.1,0.0,63.45
1,2043,11,13748,24.2,34.5,1.2,0.1,0.0,64.64
1,2043,12,17904,23.4,35.8,2.4,0.1,0.0,60.71
1,2043,13,18347,22.1,35.1,2.5,0.1,0.0,64.41
1,2043,14,17582,23.8,34.3,3.5,0.1,0.0,58.0
1,2043,15,15847,23.6,35.2,1.8,0.1,0.0,55.3
1,2043,16,18412,23.1,34.1,2.5,0.1,0.0,66.26
1,2043,17,20803,23.1,34.4,2.4,0.1,0.0,68.26
1,2043,18,15672,25.0,36.6,2.1,0.1,0.0,64.5
1,2043,19,20819,23.1,33.8,2.9,0.1,0.0,63.75
1,2043,20,17140,24.3,36.8,2.0,0.1,0.0,66.69
1,2043,21,17224,23.0,35.4,1.7,0.1,0.0,61.49
1,2043,22,17617,23.5,33.3,2.6,0.1,0.0,71.67
1,2043,23,18731,23.2,35.0,1.4,0.1,0.0,62.39
1,2043,24,19009,22.4,36.7,1.6,0.1,0.0,61.49
1,2043,25,19909,24.4,34.0,2.8,0.1,0.0,57.15
1,2043,26,17286,23.5,34.0,1.9,0.1,0.0,66.06
1,2043,27,17197,23.5,34.9,2.7,0.1,0.0,65.8
1,2043,28,20312,23.3,36.5,1.2,0.1,0.0,62.3
1,2043,29,21016,24.0,37.2,2.5,0.1,0.0,59.94
1,2043,30,19079,23.7,34.7,2.1,0.1,0.0,65.66
1,2043,31,17153,24.3,35.7,2.7,0.1,0.0,67.03
1,2043,32,16276,25.0,35.9,1.7,0.1,0.0,66.75
1,2043,33,15203,24.0,35.2,2.2,0.1,0.0,65.42
1,2043,34,18017,24.2,34.9,2.3,0.1,0.0,64.36
