id,seed,awd_pumping_threshold,error_methane,error_water,fitness
0,4.788084284761241E18,-200.0,0.3789523847937108,0.31115916372790603,0.6901115485216168
1,4.788084284761241E18,-195.0,0.3725448227449507,0.29665953551218005,0.6692043582571308
2,4.788084284761241E18,-190.0,0.36006119038344003,0.28183309981152604,0.641894290194966
3,4.788084284761241E18,-185.0,0.32678804817091084,0.3146646342561369,0.6414526824270477
4,4.788084284761241E18,-180.0,0.3331209763807678,0.3002533003258837,0.6333742767066515
5,4.788084284761241E18,-175.0,0.34267405086093916,0.28606120272680796,0.6287352535877471
6,4.788084284761241E18,-170.0,0.3065288035242825,0.2733489526771012,0.5798777562013837
7,4.788084284761241E18,-165.0,0.3465291609799433,0.29040222707579266,0.6369313880557359
8,4.788084284761241E18,-160.0,0.33945745591697696,0.30732017297041714,0.6467776288873941
9,4.788084284761241E18,-155.0,0.34069504004190326,0.28888432128746266,0.6295793613293659
10,4.788084284761241E18,-150.0,0.30955350727349745,0.27758215132812,0.5871356586016174
11,4.788084284761241E18,-145.0,0.3339282248396971,0.2675371480169153,0.6014653728566124
12,4.788084284761241E18,-140.0,0.3012468052862736,0.3157695928071554,0.617016398093429
13,4.788084284761241E18,-135.0,0.3172576355797347,0.2950331686453474,0.6122908042250821
14,4.788084284761241E18,-130.0,0.31587015287734743,0.27268067987020395,0.5885508327475514
15,4.788084284761241E18,-125.0,0.30172106034680163,0.28272473221581873,0.5844457925626203
16,4.788084284761241E18,-120.0,0.28968990404183914,0.2892533434385821,0.5789432474804213
17,4.788084284761241E18,-115.0,0.35288734206718475,0.29686715369847766,0.6497544957656625
18,4.788084284761241E18,-110.0,0.3405241027073928,0.32893463265904177,0.6694587353664345
19,4.788084284761241E18,-105.0,0.3484820421588444,0.33409227520060336,0.6825743173594477
20,4.788084284761241E18,-100.0,0.3515561023028437,0.31561040503393,0.6671665073367736
21,4.788084284761241E18,-95.0,0.3185267381128983,0.2498276411493705,0.5683543792622687
22,4.788084284761241E18,-90.0,0.30966773586302915,0.2793299891178273,0.5889977249808565
23,4.788084284761241E18,-85.0,0.30941126327297097,0.2580602393302557,0.5674715026032267
24,4.788084284761241E18,-80.0,0.2688665368894954,0.2504363131559702,0.5193028500454656
25,4.788084284761241E18,-75.0,0.28666392494042275,0.2245623657699777,0.5112262907104005
26,4.788084284761241E18,-70.0,0.3032702190822907,0.2434204880828892,0.5466907071651799
27,4.788084284761241E18,-65.0,0.30310247146936864,0.262424933370176,0.5655274048395447
28,4.788084284761241E18,-60.0,0.35065570710940747,0.23147766000925263,0.5821333671186601
29,4.788084284761241E18,-55.0,0.3554097081391221,0.269227885042936,0.624637593182058
